ID,author_year,country,cohort_name,cohort_abbrev,study_design,estimateType,analysis_type,temporality,exposure_characteristic,exposure_dx_class,outcome_characteristic,outcome_dx_class,dx_pair,exposure_modified_label,outcome_modified_label,pair,mood_anx_unadj,mood_anx_adj,bi3_ago_unadj,bi3_ago_adj,bi3_ocd_unadj,bi3_ocd_adj,bi3_gad_unadj,bi3_gad_adj,bi3_pd_unadj,bi3_pd_adj,bi3_pts_unadj,bi3_pts_adj,bi3_so_unadj,bi3_so_adj,bi3_sp_unadj,bi3_sp_adj,bi3_anx_unadj,bi3_anx_adj,dep_ocd_unadj,dep_ocd_adj,dep_gad_unadj,dep_gad_adj,dep_pds_unadj,dep_pds_adj,dep_pts_unadj,dep_pts_adj,dep_so_unadj,dep_so_adj,dep_sp_unadj,dep_sp_adj,dep_anx_unadj,dep_anx_adj,dep_ago_unadj,dep_ago_adj,dys_ago_unadj,dys_ago_adj,dys_ocd_unadj,dys_ocd_adj,dys_gad_unadj,dys_gad_adj,dys_pds_unadj,dys_pds_adj,dys_pts_unadj,dys_pts_adj,dys_so_unadj,dys_so_adj,dys_sp_unadj,dys_sp_adj,dys_anx_unadj,dys_anx_adj,mood_gad_unadj,mood_gad_adj,mood_so_unadj,mood_so_adj,mood_sp_unadj,mood_sp_adj,type1,UnadjRate1,UnadjLowerCI1,UnadjUpperCI1,PValue_Unadjusted,type2,AdjRate1,AdjLowerCI1,AdjUpperCI1,PValue_Adjusted,type3,a,c,b,d
2,"Adam et al, 2012",Germany,The German Health Interview and Examination Survey (GHS-MHS),GHS-MHS,cross-sectional,odds ratios,logistic regression,period-prevalence,12-month,mood disorder,12-month,anxiety disorder,mood disorder-OCD,mood disorder,OCD,mood disorder-OCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,21.3,9.5,47.8,,,,,,
2,"Adam et al, 2012",Germany,The German Health Interview and Examination Survey (GHS-MHS),GHS-MHS,cross-sectional,odds ratios,logistic regression,period-prevalence,12-month,mood disorder,12-month,anxiety disorder,MDD-OCD,depression,OCD,depression-OCD,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,10.8,5.2,22.2,,,,,,
2,"Adam et al, 2012",Germany,The German Health Interview and Examination Survey (GHS-MHS),GHS-MHS,cross-sectional,odds ratios,logistic regression,period-prevalence,12-month,mood disorder,12-month,anxiety disorder,dysthymic disorder-OCD,dysthymia,OCD,dysthymia-OCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,Overall,23.7,11.2,50.2,,,,,,
2,"Adam et al, 2012",Germany,The German Health Interview and Examination Survey (GHS-MHS),GHS-MHS,cross-sectional,odds ratios,logistic regression,period-prevalence,12-month,mood disorder,12-month,anxiety disorder,bipolar disorder-OCD,bipolar disorder,OCD,bipolar disorder-OCD,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,22.6,6.3,80.9,,,,,,
3,"Alvarenga et al, 2016",Brazil,,,cross-sectional,crude estimate,2 X 2 table,period-prevalence,,mood disorder,,anxiety disorder,bipolar disorder-OCD,bipolar disorder,OCD,bipolar disorder-OCD,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,1,76,2,1945
3,"Alvarenga et al, 2016",Brazil,,,cross-sectional,crude estimate,2 X 2 table,period-prevalence,,mood disorder,,anxiety disorder,MDD-OCD,depression,OCD,depression-OCD,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,15,62,37,1910
3,"Alvarenga et al, 2016",Brazil,,,cross-sectional,crude estimate,2 X 2 table,period-prevalence,,mood disorder,,anxiety disorder,mood disorder-OCD,mood disorder,OCD,mood disorder-OCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,16,61,39,1908
5,"Beekman et al, 2000",Netherlands,The Longitudinal Aging Study Amsterdam (LASA),LASA,prospective cohort,crude estimate,2 X 2 table,period-prevalence,6-month,mood disorder,6-month,anxiety disorder,MDD-anxiety disorder,depression,anxiety disorder,depression-anxiety disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,29,82,32,516
6,"Beesdo et al, 2007",Germany,Early Developmental Stages of Psychopathology (EDSP),EDSP,prospective cohort,odds ratios,logistic regression,lifetime,lifetime,anxiety disorder,lifetime,mood disorder,social phobia-mood disorder,social phobia,mood disorder,social phobia-mood disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,Overall,3.18,2.45,4.14,,,,,,,,,,,
7,"Biederman et al, 2005",USA,,,case-control,crude estimate,2 X 2 table,period-prevalence,,anxiety disorder,,mood disorder,panic disorder-major depression,panic disorder,depression,panic disorder-depression,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,32,225,23,686
